road,id,model_type,name,lat,lon,length,chainage,condition
N2,202066,link,link 1036,24.272536060579903,91.44775622828175,483.0,138.0255,
N2,202067,bridge,bridge 1026,24.2708890745341,91.4493102099378,2.6,138.267,A
N2,202068,link,link 1037,24.2693305602509,91.45107042190435,502.0,138.518,
N2,202069,bridge,bridge 1027,24.2677720459677,91.4528306338709,2.1,138.769,A
N2,202070,link,link 1038,24.267120561160198,91.4549526335687,502.0,139.01999999999998,
N2,202071,bridge,bridge 1028,24.2664690763527,91.4570746332665,2.1,139.271,A
N2,202072,link,link 1039,24.2665798084168,91.45953288797591,502.0,139.522,
N2,202073,bridge,bridge 1029,24.2666905404809,91.4619911426853,2.1,139.773,A
N2,202074,link,link 1040,24.26685164681045,91.46507151554556,629.0,140.08749999999998,
N2,202075,bridge,bridge 1030,24.26701275314,91.4681518884058,1.6,140.402,A
N2,202076,link,link 1041,24.267097310393503,91.47012654607455,402.0,140.603,
N2,202077,bridge,bridge 1031,24.267181867647,91.4721012037433,1.6,140.804,A
N2,202078,link,link 1042,24.26772168842665,91.47467415774466,578.0,141.09300000000002,
N2,202079,bridge,bridge 1032,24.2682615092063,91.477247111746,216.7,141.382,C
N2,202080,link,link 1043,24.273533927592503,91.48158628508389,1530.0,142.147,
N2,202081,bridge,bridge 1033,24.2788063459787,91.4859254584218,27.0,142.912,A
N2,202082,link,link 1044,24.2818672239456,91.49098070571361,1234.0,143.529,
N2,202083,bridge,bridge 1034,24.2849281019125,91.4960359530054,12.6,144.146,C
N2,202084,link,link 1045,24.285582375056947,91.4971111333372,267.0,144.27949999999998,
N2,202085,bridge,bridge 1035,24.2862366482014,91.498186313669,2.0,144.413,C
N2,202086,link,link 1046,24.287830695453,91.50094881306225,664.0,144.745,
N2,202087,bridge,bridge 1036,24.2894247427046,91.5037113124555,2.0,145.077,A
N2,202088,link,link 1047,24.29260948695735,91.50712344826594,1017.0,145.5855,
N2,202089,bridge,bridge 1037,24.2957942312101,91.5105355840764,1.5,146.094,A
N2,202090,link,link 1048,24.297548927053974,91.51108189383997,282.0,146.235,
N2,202091,bridge,bridge 1038,24.299303622897853,91.51162820360355,9.549999999999999,146.376,A
N2,202092,link,link 1049,24.301853692958325,91.51337509010362,791.0,146.7715,
N2,202093,bridge,bridge 1039,24.3044037630188,91.5151219766037,2.0,147.167,A
N2,202094,link,link 1050,24.30524391272485,91.5161966360919,261.0,147.2975,
N2,202095,bridge,bridge 1040,24.3060840624309,91.5172712955801,1.5,147.428,A
N2,202096,link,link 1051,24.3085754852927,91.518994743069,747.0,147.8015,
N2,202097,bridge,bridge 1041,24.3110669081545,91.5207181905579,6.3,148.175,A
N2,202098,link,link 1052,24.31376582154045,91.52333978296275,808.0,148.579,
N2,202099,bridge,bridge 1042,24.3164647349264,91.5259613753676,8.0,148.983,A
N2,202100,link,link 1053,24.31839648228155,91.5273638969572,526.0,149.24599999999998,
N2,202101,bridge,bridge 1043,24.3203282296367,91.5287664185468,41.0,149.509,A
N2,202102,link,link 1054,24.32254425757195,91.5299449147806,548.0,149.783,
N2,202103,bridge,bridge 1044,24.3247602855072,91.5311234110144,8.0,150.057,A
N2,202104,link,link 1055,24.32802031924215,91.5321132578736,755.0,150.4345,
N2,202105,bridge,bridge 1045,24.3312803529771,91.5331031047328,6.4,150.812,A
N2,202106,link,link 1056,24.332926869105975,91.53331774425675,342.0,150.983,
N2,202107,bridge,bridge 1046,24.33457338523485,91.53353238378071,1.3,151.154,A
N2,202108,link,link 1057,24.335756020786427,91.53358508414385,405.0,151.35649999999998,
N2,202109,bridge,bridge 1047,24.336938656338,91.533637784507,4.2,151.559,A
N2,202110,link,link 1058,24.338671830403598,91.5339518115272,301.0,151.7095,
N2,202111,bridge,bridge 1048,24.3404050044692,91.5342658385474,10.6,151.86,A
N2,202112,link,link 1059,24.3418693345875,91.53456734250895,338.0,152.029,
N2,202113,bridge,bridge 1049,24.3433336647058,91.5348688464705,3.0,152.198,A
N2,202114,link,link 1060,24.34467099743485,91.53510365569426,303.0,152.3495,
